-0.244190	-0.142411	-0.395774
-0.244190	-0.142411	-0.395774
-0.244190	-0.142411	-0.395774
-0.266785	-0.084064	-0.407848
-0.266785	-0.084064	-0.407848
-0.266904	-0.095782	-0.407856
-0.266904	-0.095782	-0.407856
-0.267022	-0.107501	-0.407864
-0.255428	-0.107382	-0.407865
-0.243950	-0.118998	-0.432107
-0.174621	-0.141741	-0.456362
-0.081985	-0.152529	-0.480610
-0.024133	-0.163655	-0.480623
0.022124	-0.174892	-0.468519
0.068262	-0.197848	-0.456422
0.067905	-0.232987	-0.432213
0.067430	-0.279844	-0.408012
0.043885	-0.315219	-0.383802
0.031934	-0.350477	-0.359592
0.008507	-0.374126	-0.323256
0.043169	-0.385481	-0.311151
0.112851	-0.373045	-0.299032
0.147633	-0.372690	-0.299035
0.182771	-0.337188	-0.311131
0.206316	-0.301813	-0.335342
0.229860	-0.266429	-0.347436
0.241692	-0.242882	-0.359537
0.265354	-0.195780	-0.371624
0.265710	-0.160633	-0.383716
0.277777	-0.113642	-0.383685
0.301201	-0.089961	-0.371555
0.312795	-0.089842	-0.371556
0.312677	-0.101561	-0.371564
0.312677	-0.101561	-0.371564
0.277660	-0.125368	-0.395810
0.266067	-0.125494	-0.407925
0.254948	-0.078756	-0.432125
0.231879	-0.067282	-0.444231
0.232354	-0.020417	-0.456316
0.220878	-0.008817	-0.456307
0.209403	0.002775	-0.468414
0.209877	0.049640	-0.480499
0.198402	0.061240	-0.480490
0.186927	0.072832	-0.492597
0.187164	0.096269	-0.492581
0.175688	0.107869	-0.492572
0.152737	0.131069	-0.492554
0.095004	0.153906	-0.504650
0.060222	0.153551	-0.504647
0.013847	0.153070	-0.516759
-0.009341	0.152833	-0.516758
-0.009341	0.152833	-0.516758
0.013965	0.164788	-0.516751
0.025441	0.153188	-0.516760
0.060340	0.165269	-0.504639
0.095004	0.153906	-0.504650
0.129549	0.130824	-0.504669
0.187163	0.096277	-0.480465
0.221470	0.049767	-0.468383
0.244540	0.038285	-0.468393
0.244421	0.026575	-0.456285
0.232946	0.038167	-0.468392
0.233064	0.049893	-0.456268
0.244539	0.038293	-0.456277
0.255896	0.014983	-0.444177
0.255896	0.014983	-0.444177
0.232590	0.003020	-0.456300
0.208930	-0.044098	-0.468446
0.254948	-0.078756	-0.432125
0.277898	-0.101940	-0.407910
0.242643	-0.149176	-0.420056
0.207506	-0.184686	-0.420077
0.161013	-0.196885	-0.432197
0.126112	-0.208958	-0.432202
0.091213	-0.221040	-0.444324
0.068025	-0.221276	-0.444322
0.056431	-0.221395	-0.444321
0.009936	-0.233586	-0.444325
-0.024965	-0.245651	-0.432213
-0.059628	-0.234296	-0.444319
-0.105767	-0.211333	-0.444299
-0.128719	-0.188133	-0.444281
-0.140076	-0.164815	-0.444264
-0.140076	-0.164815	-0.444264
-0.140194	-0.176533	-0.444272
-0.140433	-0.199953	-0.420055
-0.233545	-0.236015	-0.359489
-0.244784	-0.200978	-0.359464
-0.267855	-0.189489	-0.347338
-0.302757	-0.201546	-0.323110
-0.314116	-0.178220	-0.310977
-0.325472	-0.154909	-0.323076
-0.313759	-0.143081	-0.335185
-0.336474	-0.096444	-0.335151
-0.301334	-0.060958	-0.371480
-0.289501	-0.037419	-0.395698
-0.254480	-0.013644	-0.419917
-0.230817	0.033450	-0.444120
-0.195679	0.068952	-0.456216
-0.160422	0.116164	-0.480419
-0.113926	0.128348	-0.492532
-0.067077	0.175694	-0.492504
-0.032058	0.199486	-0.492491
0.014318	0.199959	-0.492495
0.072170	0.188832	-0.492508
0.106834	0.177469	-0.492518
0.141496	0.166114	-0.480413
0.153090	0.166240	-0.468297
0.176159	0.154758	-0.468307
0.176159	0.154758	-0.468307
0.198992	0.119840	-0.468333
0.209995	0.061367	-0.468374
0.209640	0.026212	-0.468398
0.186216	0.002531	-0.480529
0.185860	-0.032616	-0.468436
0.185742	-0.044335	-0.468444
0.219694	-0.125992	-0.444270
0.219218	-0.172849	-0.420070
0.218981	-0.196278	-0.407969
0.195674	-0.208232	-0.407975
0.183962	-0.220069	-0.407982
0.172250	-0.231906	-0.407989
0.125637	-0.255816	-0.408001
0.114043	-0.255934	-0.408000
0.102331	-0.267771	-0.408007
0.102212	-0.279489	-0.408015
0.090737	-0.267889	-0.408006
0.055956	-0.268252	-0.420120
0.044481	-0.256660	-0.432227
0.021293	-0.256896	-0.432225
0.009699	-0.257015	-0.432224
0.009699	-0.257015	-0.432224
-0.013371	-0.245533	-0.432214
-0.036440	-0.234059	-0.444321
-0.047796	-0.210749	-0.456420
-0.070866	-0.199268	-0.456410
-0.082223	-0.175949	-0.456393
-0.093816	-0.176076	-0.468509
-0.093698	-0.164357	-0.468501
-0.105293	-0.164468	-0.456383
-0.058678	-0.140574	-0.480604
-0.012302	-0.140100	-0.480608
-0.023896	-0.140219	-0.480607
-0.035490	-0.140337	-0.480606
-0.035490	-0.140337	-0.480606
-0.035490	-0.140337	-0.480606
-0.047084	-0.140455	-0.480605
-0.058678	-0.140574	-0.480604
-0.070272	-0.140692	-0.480603
-0.081986	-0.152521	-0.468494
-0.082104	-0.164239	-0.468502
-0.082104	-0.164239	-0.468502
-0.093698	-0.164357	-0.468501
-0.128362	-0.152994	-0.468490
-0.139839	-0.141386	-0.456365
-0.162790	-0.118186	-0.456347
-0.185979	-0.118415	-0.444228
-0.209168	-0.118643	-0.432110
-0.197811	-0.141962	-0.432127
-0.197811	-0.141962	-0.432127
-0.198047	-0.165398	-0.432143
-0.024372	-0.187076	-0.456406
-0.209642	-0.165508	-0.420025
-0.221237	-0.165619	-0.407908
-0.255784	-0.142529	-0.395773
-0.278853	-0.131047	-0.395763
-0.313401	-0.107950	-0.371511
-0.324878	-0.096342	-0.359385
-0.324759	-0.084624	-0.359377
-0.313283	-0.096232	-0.371503
-0.324877	-0.096350	-0.371502
-0.324996	-0.108060	-0.359393
-0.324996	-0.108060	-0.359393
-0.324996	-0.108060	-0.359393
-0.324996	-0.108060	-0.359393
-0.324996	-0.108060	-0.359393
-0.336590	-0.108178	-0.359392
-0.336472	-0.096460	-0.359384
-0.336353	-0.084742	-0.359376
-0.336353	-0.084742	-0.359376
-0.324758	-0.084632	-0.371494
-0.336353	-0.084742	-0.359376
-0.336353	-0.084742	-0.359376
-0.336234	-0.073032	-0.371485
-0.336234	-0.073032	-0.371485
-0.347711	-0.061424	-0.359359
-0.347592	-0.049705	-0.359351
-0.347592	-0.049705	-0.359351
-0.359068	-0.038105	-0.359342
-0.347237	-0.014550	-0.359327
-0.335524	-0.002722	-0.371437
-0.312216	0.009217	-0.395664
-0.300502	0.021046	-0.407773
-0.312097	0.020935	-0.395656
-0.323573	0.032535	-0.395647
-0.323337	0.055980	-0.383514
-0.311623	0.067801	-0.407740
-0.311387	0.091245	-0.395608
-0.299556	0.114792	-0.407709
-0.276130	0.138457	-0.419811
-0.264418	0.150294	-0.419804
-0.218040	0.150751	-0.444041
-0.183138	0.162817	-0.456153
-0.136879	0.151556	-0.480397
-0.090738	0.128584	-0.492534
-0.056192	0.105495	-0.504669
-0.033122	0.094013	-0.504679
-0.021646	0.082413	-0.504688
0.013136	0.082768	-0.504691
0.048036	0.094841	-0.504686
0.071223	0.095086	-0.492572
0.117718	0.107277	-0.492567
0.152381	0.095922	-0.480462
0.175331	0.072730	-0.468363
0.163146	0.014012	-0.480519
0.163145	0.014020	-0.468402
0.127891	-0.033216	-0.480548
0.127418	-0.080089	-0.480580
0.150486	-0.091563	-0.468473
0.138774	-0.103399	-0.468481
0.138656	-0.115118	-0.468489
0.115113	-0.150509	-0.468511
0.091687	-0.174174	-0.456408
0.080093	-0.174293	-0.456407
0.068381	-0.186129	-0.456414
0.044956	-0.209803	-0.456428
0.033362	-0.209921	-0.456427
0.010174	-0.210158	-0.456425
-0.013014	-0.210394	-0.456423
-0.036084	-0.198913	-0.456413
-0.059391	-0.210859	-0.444303
-0.070866	-0.199268	-0.456410
-0.070629	-0.175831	-0.456394
-0.082223	-0.175949	-0.456393
-0.105649	-0.199614	-0.444291
-0.117362	-0.211443	-0.432182
-0.082579	-0.211096	-0.444301
-0.047440	-0.175602	-0.468513
-0.000827	-0.151700	-0.480617
0.022243	-0.163182	-0.480627
0.022124	-0.174892	-0.468519
0.010412	-0.186729	-0.468526
0.010174	-0.210158	-0.456425
0.033600	-0.186492	-0.468528
0.011361	-0.093007	-0.504811
0.034549	-0.092770	-0.504813
-0.013013	-0.210402	-0.468540
-0.048034	-0.234178	-0.444320
-0.047796	-0.210749	-0.456420
-0.059389	-0.210875	-0.468536
-0.059153	-0.187439	-0.468520
-0.059271	-0.199157	-0.468528
-0.094172	-0.211222	-0.456416
-0.105648	-0.199622	-0.456407
-0.152143	-0.211806	-0.444295
-0.163738	-0.211916	-0.432178
-0.186690	-0.188716	-0.432160
-0.209641	-0.165516	-0.432142
-0.244305	-0.154153	-0.432131
-0.279089	-0.154492	-0.407895
-0.267733	-0.177802	-0.395796
-0.267851	-0.189521	-0.395804
-0.267614	-0.166084	-0.395788
-0.244544	-0.177574	-0.407914
-0.244425	-0.165855	-0.407906
-0.232593	-0.142316	-0.432124
-0.232356	-0.118880	-0.432108
-0.243950	-0.118998	-0.432107
-0.232118	-0.095451	-0.444208
-0.220524	-0.095333	-0.444209
